HINDUNILVR | 2020-03 | opm_mismatch | computed opm=75.21 vs source opm=9861.0
HINDUNILVR | 2021-03 | opm_mismatch | computed opm=75.28 vs source opm=11626.0
HINDUNILVR | 2022-03 | opm_mismatch | computed opm=75.49 vs source opm=12857.0
HINDUNILVR | 2023-03 | opm_mismatch | computed opm=76.65 vs source opm=14147.0
HINDUNILVR | 2024-03 | opm_mismatch | computed opm=76.32 vs source opm=14659.0
ICICIBANK | 2013-03 | opm_mismatch | computed opm=70.59 vs source opm=-15085.0
ICICIBANK | 2013-03 | interest_risk | ICR=1.08 < 1.5
ICICIBANK | 2014-03 | opm_mismatch | computed opm=66.4 vs source opm=-13084.0
ICICIBANK | 2014-03 | interest_risk | ICR=1.09 < 1.5
ICICIBANK | 2015-03 | opm_mismatch | computed opm=70.53 vs source opm=-16120.0
ICICIBANK | 2015-03 | interest_risk | ICR=1.1 < 1.5
ICICIBANK | 2016-03 | opm_mismatch | computed opm=88.12 vs source opm=-26955.0
ICICIBANK | 2016-03 | interest_risk | ICR=1.24 < 1.5
ICICIBANK | 2017-03 | opm_mismatch | computed opm=104.76 vs source opm=-37737.0
ICICIBANK | 2017-03 | interest_risk | ICR=1.22 < 1.5
ICICIBANK | 2018-03 | opm_mismatch | computed opm=117.12 vs source opm=-44906.0
ICICIBANK | 2018-03 | interest_risk | ICR=1.28 < 1.5
ICICIBANK | 2019-03 | opm_mismatch | computed opm=116.38 vs source opm=-50971.0
ICICIBANK | 2019-03 | interest_risk | ICR=1.41 < 1.5
ICICIBANK | 2020-03 | opm_mismatch | computed opm=100.62 vs source opm=-45190.0
ICICIBANK | 2020-03 | interest_risk | ICR=1.31 < 1.5
ICICIBANK | 2021-03 | opm_mismatch | computed opm=102.41 vs source opm=-44805.0
ICICIBANK | 2021-03 | interest_risk | ICR=1.26 < 1.5
ICICIBANK | 2022-03 | opm_mismatch | computed opm=84.69 vs source opm=-26558.0
ICICIBANK | 2022-03 | interest_risk | ICR=1.3 < 1.5
ICICIBANK | 2023-03 | opm_mismatch | computed opm=72.57 vs source opm=-17341.0
ICICIBANK | 2023-03 | interest_risk | ICR=1.35 < 1.5
ICICIBANK | 2024-03 | opm_mismatch | computed opm=62.41 vs source opm=-14152.0
ICICIBANK | 2024-03 | interest_risk | ICR=1.3 < 1.5
ICICIGI | 2013-03 | opm_mismatch | computed opm=104.46 vs source opm=-178.0
ICICIGI | 2014-03 | opm_mismatch | computed opm=105.19 vs source opm=-225.0
ICICIGI | 2015-03 | opm_mismatch | computed opm=105.24 vs source opm=-221.0
ICICIGI | 2016-03 | opm_mismatch | computed opm=87.34 vs source opm=764.0
ICICIGI | 2016-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ICICIGI | 2017-03 | opm_mismatch | computed opm=87.78 vs source opm=919.0
ICICIGI | 2017-03 | interest_risk | ICR=-3306.5 < 1.5
ICICIGI | 2018-03 | opm_mismatch | computed opm=103.79 vs source opm=-262.0
ICICIGI | 2019-03 | opm_mismatch | computed opm=85.05 vs source opm=1669.0
ICICIGI | 2019-03 | interest_risk | ICR=-4754.5 < 1.5
ICICIGI | 2020-03 | opm_mismatch | computed opm=84.61 vs source opm=1772.0
ICICIGI | 2021-03 | opm_mismatch | computed opm=82.97 vs source opm=2072.0
ICICIGI | 2022-03 | opm_mismatch | computed opm=93.66 vs source opm=1016.0
ICICIGI | 2023-03 | opm_mismatch | computed opm=92.93 vs source opm=1264.0
ICICIGI | 2024-03 | opm_mismatch | computed opm=87.42 vs source opm=2577.0
ICICIPRULI | 2013-03 | opm_mismatch | computed opm=96.28 vs source opm=745.0
ICICIPRULI | 2014-03 | opm_mismatch | computed opm=93.13 vs source opm=1504.0
ICICIPRULI | 2015-03 | opm_mismatch | computed opm=95.2 vs source opm=1655.0
ICICIPRULI | 2016-03 | opm_mismatch | computed opm=91.17 vs source opm=1842.0
ICICIPRULI | 2016-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ICICIPRULI | 2017-03 | opm_mismatch | computed opm=95.22 vs source opm=1806.0
ICICIPRULI | 2018-03 | opm_mismatch | computed opm=95.44 vs source opm=1771.0
ICICIPRULI | 2019-03 | opm_mismatch | computed opm=98.7 vs source opm=541.0
ICICIPRULI | 2020-03 | opm_mismatch | computed opm=101.52 vs source opm=-319.0
ICICIPRULI | 2021-03 | opm_mismatch | computed opm=100.47 vs source opm=-390.0
ICICIPRULI | 2022-03 | opm_mismatch | computed opm=103.4 vs source opm=-2163.0
ICICIPRULI | 2023-03 | opm_mismatch | computed opm=103.48 vs source opm=-1757.0
ICICIPRULI | 2024-03 | opm_mismatch | computed opm=102.03 vs source opm=-1829.0
INDUSINDBK | 2013-03 | opm_mismatch | computed opm=27.88 vs source opm=286.0
INDUSINDBK | 2013-03 | interest_risk | ICR=1.43 < 1.5
INDUSINDBK | 2014-03 | opm_mismatch | computed opm=30.95 vs source opm=335.0
INDUSINDBK | 2014-03 | interest_risk | ICR=1.35 < 1.5
INDUSINDBK | 2015-03 | opm_mismatch | computed opm=32.33 vs source opm=288.0
INDUSINDBK | 2015-03 | interest_risk | ICR=1.23 < 1.5
INDUSINDBK | 2016-03 | opm_mismatch | computed opm=35.28 vs source opm=329.0
INDUSINDBK | 2016-03 | interest_risk | ICR=1.27 < 1.5
INDUSINDBK | 2017-03 | opm_mismatch | computed opm=39.46 vs source opm=379.0
INDUSINDBK | 2017-03 | interest_risk | ICR=1.36 < 1.5
INDUSINDBK | 2018-03 | opm_mismatch | computed opm=37.93 vs source opm=942.0
INDUSINDBK | 2018-03 | interest_risk | ICR=1.38 < 1.5
INDUSINDBK | 2019-03 | opm_mismatch | computed opm=41.7 vs source opm=-437.0
INDUSINDBK | 2020-03 | opm_mismatch | computed opm=43.81 vs source opm=-553.0
INDUSINDBK | 2021-03 | opm_mismatch | computed opm=55.16 vs source opm=-2469.0
INDUSINDBK | 2022-03 | opm_mismatch | computed opm=51.39 vs source opm=-839.0
INDUSINDBK | 2023-03 | opm_mismatch | computed opm=42.69 vs source opm=2067.0
INDUSINDBK | 2024-03 | opm_mismatch | computed opm=38.55 vs source opm=2978.0
INFY | 2016-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
INFY | 2017-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
INFY | 2018-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
INFY | 2019-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
IRCTC | 2015-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
IRCTC | 2016-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
